Date,Canton,Longitude,Latitude,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
20.02.05,GR,9.566102344071364,46.80705673484278,Churwalden,1930,WNW,2,3,2,1,1
25.02.05,VS,6.794693914116767,46.35959770468226,Saint-Gingolph,1460,WNW,1,3,3,2,2
10.03.05,VS,7.882752876087825,46.07467323232552,Saas-Fee,3290,ENE,1,3,1,1,1
10.03.05,GR,9.148485259442603,46.841241681755946,Siat,2010,SE,2,3,1,1,1
12.03.05,BE,8.08461974538355,46.67318311251975,Grindelwald,2380,SSE,1,2,2,1,1
13.03.05,SG,9.256063750907307,47.20011215596047,Alt St. Johann,1350,NW,1,3,1,1,1
14.03.05,GL,9.166274168592421,47.07679548191423,Obstalden,1780,NW,1,3,3,3,3
21.04.05,VS,7.347422756981833,46.12921383371983,Hérémence,2900,N,1,2,4,3,2
22.04.05,VS,7.230528413783121,46.00973376026494,Bagnes,3050,NNE,1,3,3,1,1
30.12.05,GR,9.947541333467022,46.62219321308484,Zuoz,2680,SE,1,2,1,1,1
03.01.06,VS,7.324212434477996,46.09177140302642,Nendaz,2850,N,2,3,1,1,1
08.01.06,VD,7.149760653088848,46.24492446237003,Bex,2710,WSW,1,2,2,1,1
20.01.06,OW/8.058554947950844,46.79342107520683,LU,Giswil / Flühli,2020,NNE,2,3,2,1,1
21.01.06,SG,9.233112298614337,47.07125392670162,Quarten,2000,NNW,2,3,4,1,1
21.01.06,BE,7.40764804577341,46.702579963346565,Rüschegg,1835,NNW,1,3,1,1,1
30.01.06,GR,9.535554801722416,46.56114643324727,Riom-Parsonz,2170,NNE,2,2,1,1,1
19.02.06,GR,10.021162427364173,46.29193930966984,Poschiavo,2140,NE,1,3,1,1,1
19.02.06,VS,7.789701840877484,45.99611064579529,Zermatt,2820,NW,2,3,1,1,1
20.02.06,GR,8.808148932622073,46.71167277767394,Disentis/Mustér,2110,N,2,3,4,3,3
21.02.06,VS,7.114997663765032,45.930976066215734,Orsières,2060,N,2,3,1,1,1
22.02.06,VS,6.889400307574678,46.258308338290554,Collombey-Muraz,2000,NNW,1,2,1,1,1
23.02.06,GR,8.789891840855619,46.64856165477491,Tavetsch/Tujetsch,2400,W,1,3,1,1,1
25.02.06,VS,7.785779642909627,45.98820680025068,Zermatt,2960,NNE,2,3,1,1,1
04.03.06,VD,7.198233095172242,46.36683891324854,Ormont-Dessus,2100,WNW,1,4,2,1,1
06.03.06,BE,7.8423676070483435,46.55654477432343,Lauterbrunnen,2720,ESE,2,3,1,,1
07.03.06,VS,7.802332372390765,45.99337192607586,Zermatt,3000,N,2,3,2,1,1
10.03.06,BE,7.517765419756917,46.44910627393422,Adelboden,1980,WNW,2,3,1,1,1
13.03.06,GR,9.805212163606956,46.73067181212162,Davos,2330,WSW,2,3,2,1,1
14.03.06,BE,8.22722318155586,46.75513863373487,Hasliberg,1950,N,2,3,3,3,1
17.03.06,GR,9.95975680616657,46.70616501866695,Susch,2635,NNE,1,3,4,1,1
19.03.06,VS,7.198869793454861,45.89853311432242,Bourg-Saint-Pierre,2010,NNW,2,2,2,1,1
01.01.07,BE,7.345959676978463,46.38126898664142,Lauenen,2000,W,1,3,2,1,1
06.01.07,GR,10.003103580522552,46.658891409656604,S-chanf,2090,ENE,1,3,1,1,1
08.01.07,SG,9.398522125326258,46.97013066722612,Mels,2570,W,1,3,1,1,1
13.02.07,VD,7.0032838882906425,46.36028478346501,Leysin,2000,ESE,2,3,1,1,1
14.02.07,VS,7.197219581612306,46.039217359000226,Bagnes,2300,NNW,2,3,2,2,2
16.02.07,VS,7.540071545760821,46.19811096805727,Anniviers,2660,E,2,3,1,1,1
04.03.07,VD,7.153577702500611,46.382657791510724,Château-d’Œx,2400,NE,1,3,2,1,1
04.03.07,GR,9.8157905088608,46.85775054825011,Klosters-Serneus,2440,NE,2,3,1,1,1
04.03.07,VS,7.80088294669006,45.98887886525964,Zermatt,3220,W,2,3,1,1,1
10.03.07,VS,7.354205338236349,46.34475318922363,Savièse,2800,NNW,1,2,3,2,1
12.03.07,VS,7.827427394895436,46.0013840256961,Zermatt,2740,NW,1,2,1,1,1
24.03.07,VS,7.518555710007225,46.367155563095636,Mollens,2460,E,2,3,4,1,1
25.03.07,OW,8.429274797433187,46.7847271667425,Engelberg,2500,NW,2,3,1,1,1
25.03.07,GR,9.956082031558573,46.708721266351915,Susch,2620,N,1,2,1,1,1
12.07.07,BE,7.963632321308215,46.53508964500084,Lauterbrunnen,4000,SE,1,-,14,,6
04.12.07,FR,7.141006069619705,46.54193899049559,Grandvillard / Bas-Intyamon,1970,N,1,3,1,1,1
03.01.08,BE,7.521561519663915,46.42085729761439,Lenk,2200,NNE,1,2,1,1,1
13.01.08,GR,9.810996980149163,46.84723072966469,Klosters-Serneus,2480,WNW,2,3,3,2,1
13.01.08,GR,9.964480917326698,46.40905240464677,Pontresina,2830,SW,1,4,1,1,1
15.01.08,VS,7.78198439858907,46.00036230520094,Zermatt,2520,NE,2,3,1,1,1
19.01.08,VS,7.800426188683695,46.03691624842205,Zermatt,3100,SW,3,3,3,1,1
18.03.08,GR,9.72013323042058,46.56974206656142,Bergün/Bravuogn,3110,ENE,1,2,1,1,1
16.04.08,GR,10.112790799986625,46.424372607244855,Poschiavo,3060,SW,1,2,4,2,1
19.04.08,VS,6.923642999632636,46.16189992321193,Val d’Illiez,2950,NW,1,2,3,,1
03.05.08,AI,9.41439930814792,47.28690259085604,Schwende,1450,E,1,2,1,,1
06.05.08,UR,8.799970067030152,46.87223699001496,Unterschächen,1590,S,3,1,2,,1
26.11.08,VD,7.21889867146944,46.33377684526485,Ormont-Dessous,2780,WNW,2,2,1,1,1
08.12.08,VS,7.332457707602354,46.08700286279182,Nendaz,2743,NE,2,3,3,1,1
14.12.08,AI,9.449965158384297,47.276606319690615,Schwende,1570,SE,1,3,2,,1
14.12.08,VS,7.0181994485137364,46.037927126253074,Trient,2200,SW,1,3,3,1,1
21.12.08,VS,7.607001121049588,46.258823327632776,Chandolin,2447,W,2,3,2,1,1
23.12.08,GR,9.603855744677874,46.74209551150792,Lantsch/Lenz,2840,S,2,3,1,1,1
20.01.09,VS,7.7189917844391305,45.99990703168786,Zermatt,2250,NE,2,3,3,1,1
25.01.09,BE,8.262825928124364,46.74661094092866,Hasliberg,2200,N,2,3,2,1,1
25.01.09,VS,7.330554751451219,46.08826941855719,Nendaz,2780,NE,2,3,2,1,1
11.02.09,VS,7.326372316859732,46.110313286940176,Nendaz,2240,W,1,3,4,4,3
15.02.09,GR,9.915859082074137,46.922494654776834,Saas,2380,W,1,3,3,3,2
16.02.09,GR,9.909116449393139,46.815902704803904,Klosters-Serneus,2380,NNE,2,3,1,1,1
28.02.09,SG,9.511860821232101,47.28738669158198,Altstätten,725,SE,1,3,1,1,1
07.03.09,LU,8.053292163484615,46.94066241947557,Hasle,1455,NW,2,3,1,1,1
11.03.09,LU,7.93969084087553,47.00476757408284,Luthern,1400,N,1,3,1,1,1
14.03.09,SG,9.220488857005918,47.154603065858836,Amden,1680,NW,1,3,1,1,1
14.03.09,VS,7.4937078211157235,46.21163641085441,Nax,2300,NE,1,3,1,1,1
20.03.09,VS,7.244827311254072,45.98209840372873,Liddes,2690,NW,2,2,1,1,1
01.04.09,BE,7.626109542448881,46.46742016299936,Kandersteg,1900,ESE,1,2,2,1,1
01.04.09,GR,10.38238551597713,46.973285781869464,Samnaun,2440,N,2,2,1,1,1
27.04.09,VS,7.035098978548497,46.00582990455146,Trient,3000,NW,1,2,7,3,1
25.05.09,VS,7.888072612648135,46.10856565517568,Saas-Fee,3270,S,1,-,1,,1
13.06.09,GR,9.967989733954596,46.37828321163531,Poschiavo,3770,SE,1,-,3,,3
21.12.09,VS,6.965038051199341,46.034459879248665,Trient,2150,N,2,3,2,1,1
03.01.10,BE,7.53912301187568,46.52681154368655,Diemtigen,2320,NW,1,2,12,12,7
03.01.10,VS,7.20061555664122,46.03058893900831,Liddes,2380,ESE,1,3,2,1,1
31.01.10,BE,7.5052098501308375,46.451902972087666,Adelboden,1810,NW,2,3,1,1,1
31.01.10,SG,9.204986565807374,47.15646166029492,Amden,1680,NE,1,3,1,1,1
31.01.10,VS,7.5361776119959405,46.19388648025571,Anniviers,2740,SE,2,3,1,1,1
04.02.10,BE,7.863911668441974,46.60981085227055,Lauterbrunnen,2170,N,1,3,1,1,1
07.02.10,GR,9.72168392286045,46.8505791495571,Peist,2390,WSW,1,3,2,1,1
14.02.10,GR,9.709783127040984,46.438288427051184,Sils im Engadin/Segl,2640,S,1,2,2,2,1
20.02.10,UR,8.473488527043564,46.56029139895236,Realp,2170,NW,1,3,1,1,1
20.02.10,GR,9.248644958189594,46.61294464701936,Safien,2364,ESE,1,3,9,4,2
20.02.10,BE,7.84202288648513,46.61528789217202,Saxeten,2100,WNW,1,2,1,1,1
21.02.10,GR,10.335403226386909,46.76816950155387,Scuol,2470,WNW,1,3,1,1,1
25.02.10,GR,9.534437638197192,46.47171886039437,Avers,2360,NW,1,3,1,1,1
26.02.10,VS,7.803286443035058,46.23337105204943,Törbel,2810,NNE,1,3,1,1,1
27.02.10,VS,7.212280923077955,46.051662358390665,Bagnes,1625,NE,2,3,1,1,1
28.02.10,GR,9.751481746325315,46.806243620961666,Langwies,2225,NNE,1,3,1,1,1
03.04.10,GR,9.873439409429578,46.62137244203682,Bergün/Bravuogn,3350,E,1,3,2,,1
05.04.10,TI,9.02231574378899,46.10932258034574,Capriasca,1610,SSE,1,3,1,1,1
07.04.10,VS,7.669053199774717,46.156541956329505,Anniviers,2950,NW,1,2,2,1,1
18.04.10,VS,7.790752307174041,45.958776280741375,Zermatt,2780,NNE,2,1,2,1,1
06.06.10,BE,7.742592192060193,46.48403510518254,Kandersteg,2520,N,1,-,3,,1
19.12.10,UR,8.750698948971039,46.8314731777252,Unterschächen,1700,E,1,3,1,1,1
27.12.10,UR,8.650576762617442,46.663803361532956,Andermatt,2280,SE,1,3,1,1,1
16.01.11,GL,9.093495708980734,46.91641355246222,Glarus Süd,2750,SW,1,2,3,1,1
31.01.11,BE,7.598357355975387,46.45999619574219,Adelboden,2870,SW,1,2,2,2,2
05.02.11,UR,8.569929796801066,46.831335409954455,Erstfeld,1680,NNE,1,2,1,1,1
01.03.11,BE,7.271138739111929,46.36535083768584,Gsteig,2080,NE,2,3,3,2,1
01.03.11,VS,7.509712845083326,46.36230381441133,Mollens,2925,NE,2,3,1,,1
10.03.11,BE,7.844959094297512,46.61514252047276,Saxeten,2270,NW,1,2,1,1,1
12.03.11,VS,7.828013367726431,46.00210164089234,Zermatt,2740,WNW,1,2,3,3,2
13.03.11,VS,7.2028668390103405,45.897821944440885,Bourg-Saint-Pierre,2120,NE,1,3,2,2,2
