Date,Canton,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
05.02.03,VS,Orsières,1950,NE,2,4,5,4,4
08.02.03,VS,Simplon,2100,SE,1,3,4,2,1
09.02.03,GR,Samedan,2960,SW,1,3,1,1,1
10.02.03,UR,Andermatt,1980,NNE,2,3,1,1,1
11.02.03,VS,Grimentz,2680,WSW,2,3,1,,1
24.02.03,GR,Juf,2730,ENE,1,1,2,1,1
15.04.03,VS,Bagnes,2990,NE,2,2,1,,1
19.04.03,VS,Ayer,2760,E,2,1,1,1,1
19.12.03,GR,Tschierv,2385,ESE,1,2,2,2,1
29.12.03,GR,Davos,2260,NW,2,3,11,2,1
30.12.03,BE,Adelboden,2300,SW,1,3,3,2,2
04.01.04,VS,Gampel,2730,SE,1,2,1,1,1
15.01.04,GR,Tschierv,2400,ESE,1,3,3,2,1
17.01.04,VS,Bagnes,2650,WSW,2,3,4,4,1
25.01.04,VS,Bagnes,2950,SW,2,3,1,1,1
15.02.04,GR,Davos,2120,NE,2,2,1,,1
21.02.04,VS,Liddes,2160,NNW,1,2,2,1,1
05.06.04,TI,Airolo,2160,SSE,1,-,2,,1
22.12.04,SZ,Oberiberg,2120,N,1,3,2,1,1
26.12.04,GR,Sent,2610,NNE,1,3,1,1,1
27.12.04,VS,Riddes,2700,N,2,3,1,1,1
30.12.04,VS,Bagnes,3220,SSE,1,3,2,1,1
30.12.04,BE,St. Stephan,2260,NNW,1,3,1,1,1
23.01.05,VS,Lens / Icogne,2120,NW,2,3,2,2,2
23.01.05,VS,Saas-Fee,2325,NW,2,3,1,1,1
05.02.05,GR,Davos,2805,NW,1,3,2,2,1
05.02.05,GR,Klosters-Serneus,2485,N,1,3,1,1,1
06.02.05,GR,Madulain,2470,ENE,1,3,2,2,2
08.02.05,GR,Vals,1940,NNE,1,2,1,1,1
20.02.05,GR,Churwalden,1930,WNW,2,3,2,1,1
25.02.05,VS,Saint-Gingolph,1460,WNW,1,3,3,2,2
10.03.05,VS,Saas-Fee,3290,ENE,1,3,1,1,1
10.03.05,GR,Siat,2010,SE,2,3,1,1,1
12.03.05,BE,Grindelwald,2380,SSE,1,2,2,1,1
13.03.05,SG,Alt St. Johann,1350,NW,1,3,1,1,1
14.03.05,GL,Obstalden,1780,NW,1,3,3,3,3
21.04.05,VS,Hérémence,2900,N,1,2,4,3,2
22.04.05,VS,Bagnes,3050,NNE,1,3,3,1,1
30.12.05,GR,Zuoz,2680,SE,1,2,1,1,1
03.01.06,VS,Nendaz,2850,N,2,3,1,1,1
08.01.06,VD,Bex,2710,WSW,1,2,2,1,1
20.01.06,OW/LU,Giswil / Flühli,2020,NNE,2,3,2,1,1
21.01.06,SG,Quarten,2000,NNW,2,3,4,1,1
21.01.06,BE,Rüschegg,1835,NNW,1,3,1,1,1
30.01.06,GR,Riom-Parsonz,2170,NNE,2,2,1,1,1
19.02.06,GR,Poschiavo,2140,NE,1,3,1,1,1
19.02.06,VS,Zermatt,2820,NW,2,3,1,1,1
20.02.06,GR,Disentis/Mustér,2110,N,2,3,4,3,3
21.02.06,VS,Orsières,2060,N,2,3,1,1,1
22.02.06,VS,Collombey-Muraz,2000,NNW,1,2,1,1,1
23.02.06,GR,Tavetsch/Tujetsch,2400,W,1,3,1,1,1
25.02.06,VS,Zermatt,2960,NNE,2,3,1,1,1
04.03.06,VD,Ormont-Dessus,2100,WNW,1,4,2,1,1
06.03.06,BE,Lauterbrunnen,2720,ESE,2,3,1,,1
07.03.06,VS,Zermatt,3000,N,2,3,2,1,1
10.03.06,BE,Adelboden,1980,WNW,2,3,1,1,1
13.03.06,GR,Davos,2330,WSW,2,3,2,1,1
14.03.06,BE,Hasliberg,1950,N,2,3,3,3,1
17.03.06,GR,Susch,2635,NNE,1,3,4,1,1
19.03.06,VS,Bourg-Saint-Pierre,2010,NNW,2,2,2,1,1
01.01.07,BE,Lauenen,2000,W,1,3,2,1,1
06.01.07,GR,S-chanf,2090,ENE,1,3,1,1,1
08.01.07,SG,Mels,2570,W,1,3,1,1,1
13.02.07,VD,Leysin,2000,ESE,2,3,1,1,1
14.02.07,VS,Bagnes,2300,NNW,2,3,2,2,2
16.02.07,VS,Anniviers,2660,E,2,3,1,1,1
04.03.07,VD,Château-d’Œx,2400,NE,1,3,2,1,1
04.03.07,GR,Klosters-Serneus,2440,NE,2,3,1,1,1
04.03.07,VS,Zermatt,3220,W,2,3,1,1,1
10.03.07,VS,Savièse,2800,NNW,1,2,3,2,1
12.03.07,VS,Zermatt,2740,NW,1,2,1,1,1
24.03.07,VS,Mollens,2460,E,2,3,4,1,1
25.03.07,OW,Engelberg,2500,NW,2,3,1,1,1
25.03.07,GR,Susch,2620,N,1,2,1,1,1
12.07.07,BE,Lauterbrunnen,4000,SE,1,-,14,,6
04.12.07,FR,Grandvillard / Bas-Intyamon,1970,N,1,3,1,1,1
03.01.08,BE,Lenk,2200,NNE,1,2,1,1,1
13.01.08,GR,Klosters-Serneus,2480,WNW,2,3,3,2,1
13.01.08,GR,Pontresina,2830,SW,1,4,1,1,1
15.01.08,VS,Zermatt,2520,NE,2,3,1,1,1
19.01.08,VS,Zermatt,3100,SW,3,3,3,1,1
18.03.08,GR,Bergün/Bravuogn,3110,ENE,1,2,1,1,1
16.04.08,GR,Poschiavo,3060,SW,1,2,4,2,1
19.04.08,VS,Val d’Illiez,2950,NW,1,2,3,,1
03.05.08,AI,Schwende,1450,E,1,2,1,,1
06.05.08,UR,Unterschächen,1590,S,3,1,2,,1
26.11.08,VD,Ormont-Dessous,2780,WNW,2,2,1,1,1
08.12.08,VS,Nendaz,2743,NE,2,3,3,1,1
14.12.08,AI,Schwende,1570,SE,1,3,2,,1
14.12.08,VS,Trient,2200,SW,1,3,3,1,1
21.12.08,VS,Chandolin,2447,W,2,3,2,1,1
23.12.08,GR,Lantsch/Lenz,2840,S,2,3,1,1,1
20.01.09,VS,Zermatt,2250,NE,2,3,3,1,1
25.01.09,BE,Hasliberg,2200,N,2,3,2,1,1
25.01.09,VS,Nendaz,2780,NE,2,3,2,1,1
11.02.09,VS,Nendaz,2240,W,1,3,4,4,3
15.02.09,GR,Saas,2380,W,1,3,3,3,2
16.02.09,GR,Klosters-Serneus,2380,NNE,2,3,1,1,1
28.02.09,SG,Altstätten,725,SE,1,3,1,1,1
07.03.09,LU,Hasle,1455,NW,2,3,1,1,1
11.03.09,LU,Luthern,1400,N,1,3,1,1,1
14.03.09,SG,Amden,1680,NW,1,3,1,1,1
14.03.09,VS,Nax,2300,NE,1,3,1,1,1
20.03.09,VS,Liddes,2690,NW,2,2,1,1,1
01.04.09,BE,Kandersteg,1900,ESE,1,2,2,1,1
01.04.09,GR,Samnaun,2440,N,2,2,1,1,1
27.04.09,VS,Trient,3000,NW,1,2,7,3,1
25.05.09,VS,Saas-Fee,3270,S,1,-,1,,1
13.06.09,GR,Poschiavo,3770,SE,1,-,3,,3
21.12.09,VS,Trient,2150,N,2,3,2,1,1
03.01.10,BE,Diemtigen,2320,NW,1,2,12,12,7
03.01.10,VS,Liddes,2380,ESE,1,3,2,1,1
31.01.10,BE,Adelboden,1810,NW,2,3,1,1,1
31.01.10,SG,Amden,1680,NE,1,3,1,1,1
31.01.10,VS,Anniviers,2740,SE,2,3,1,1,1
04.02.10,BE,Lauterbrunnen,2170,N,1,3,1,1,1
07.02.10,GR,Peist,2390,WSW,1,3,2,1,1
14.02.10,GR,Sils im Engadin/Segl,2640,S,1,2,2,2,1
20.02.10,UR,Realp,2170,NW,1,3,1,1,1
20.02.10,GR,Safien,2364,ESE,1,3,9,4,2
20.02.10,BE,Saxeten,2100,WNW,1,2,1,1,1
21.02.10,GR,Scuol,2470,WNW,1,3,1,1,1
25.02.10,GR,Avers,2360,NW,1,3,1,1,1
26.02.10,VS,Törbel,2810,NNE,1,3,1,1,1
27.02.10,VS,Bagnes,1625,NE,2,3,1,1,1
28.02.10,GR,Langwies,2225,NNE,1,3,1,1,1
03.04.10,GR,Bergün/Bravuogn,3350,E,1,3,2,,1
05.04.10,TI,Capriasca,1610,SSE,1,3,1,1,1
07.04.10,VS,Anniviers,2950,NW,1,2,2,1,1
18.04.10,VS,Zermatt,2780,NNE,2,1,2,1,1
06.06.10,BE,Kandersteg,2520,N,1,-,3,,1
19.12.10,UR,Unterschächen,1700,E,1,3,1,1,1
27.12.10,UR,Andermatt,2280,SE,1,3,1,1,1
16.01.11,GL,Glarus Süd,2750,SW,1,2,3,1,1
31.01.11,BE,Adelboden,2870,SW,1,2,2,2,2
05.02.11,UR,Erstfeld,1680,NNE,1,2,1,1,1
01.03.11,BE,Gsteig,2080,NE,2,3,3,2,1
01.03.11,VS,Mollens,2925,NE,2,3,1,,1
10.03.11,BE,Saxeten,2270,NW,1,2,1,1,1
12.03.11,VS,Zermatt,2740,WNW,1,2,3,3,2
13.03.11,VS,Bourg-Saint-Pierre,2120,NE,1,3,2,2,2
19.03.11,GR,Davos,2770,W,1,3,4,4,3
20.03.11,BE,Grindelwald,2430,SW,2,3,1,1,1
20.03.11,VS,Zermatt,2630,WNW,1,3,2,1,1
26.03.11,VS,Bourg-Saint-Pierre,2190,NE,1,3,10,9,5
01.04.11,VS,Anniviers,2820,NW,1,2,7,4,3
07.12.11,VS,Saas-Fee,3100,N,3,-,2,2,1
11.12.11,VS,Saas-Almagell,2970,NE,1,3,2,1,1
20.12.11,VS,Fully,2000,SE,3,-,1,1,1
23.12.11,GR,Bever,2690,NE,1,3,1,1,1
29.12.11,GR,Celerina/Schlarigna,2995,E,1,3,2,1,1
03.01.12,GR,Avers,2820,NE,1,3,4,3,2
27.01.12,UR,Andermatt / Hospental,1800,NW,2,2,1,1,1
08.02.12,NW,Hergiswil,1940,NW,1,2,1,1,1
09.02.12,GR,Langwies,2300,NNE,1,3,1,,1
